"from","fromLevels0","fromLevels1","to","toLevels0","toLevels1","support","exp.coefficient","interpretation.exp.coef","coefficient","SE","interpretation","prob","interpretation.prob","cornames"
"Sex","Male","Female","IA Location=Medium risk","No","Yes",1,1.66,"odds ratio",0.51,0.19,"log odds ratio",0.62,"P(Sex=Female|IA Location=Medium risk=Yes)","location.grouped|Gender.Medium"
"Pos. Fam. History","No","Yes","IA Location=Medium risk","No","Yes",0.64,0.39,"odds ratio",-0.95,0.22,"log odds ratio",0.28,"P(Pos. Fam. History=Yes|IA Location=Medium risk=Yes)","location.grouped|Positive.famillial.history.Medium"
"Hypertension","Never","AnyType","IA Location=Medium risk","No","Yes",0.96,0.75,"odds ratio",-0.29,0.17,"log odds ratio",0.43,"P(Hypertension=AnyType|IA Location=Medium risk=Yes)","location.grouped|Hypertension.Medium"
"IA Size","intercept",NA,NA,NA,NA,NA,1.02,"exp. corr. coef.",0.02,0.05,"correlation",0.5,"P(IA Size)","IAsize_log|intercept"
"Pos. Fam. History","No","Yes","IA Size","",NA,1,0.64,"exp. corr. coef.",-0.45,0.08,"correlation",0.39,"P(Pos. Fam. History=Yes|IA Size= cont.)","IAsize_log|Positive.famillial.history"
"Multiple IAs","No","Yes","IA Size","",NA,1,1.36,"exp. corr. coef.",0.31,0.07,"correlation",0.58,"P(Multiple IAs=Yes|IA Size= cont.)","IAsize_log|Multiple.IAs"
"Multiple IAs","intercept",NA,NA,NA,NA,NA,0.41,"odds ratio",-0.89,0.1,"log odds ratio",0.29,"P(Multiple IAs=Yes)","Multiple.IAs|intercept"
"Hypertension","Never","AnyType","Multiple IAs","No","Yes",1,1.56,"odds ratio",0.44,0.15,"log odds ratio",0.61,"P(Hypertension=AnyType|Multiple IAs=Yes)","Multiple.IAs|Hypertension"
"Pos. Fam. History","No","Yes","Ruptured IA","No","Yes",1,0.44,"odds ratio",-0.82,0.22,"log odds ratio",0.31,"P(Pos. Fam. History=Yes|Ruptured IA=Yes)","Ruptured_IA|Positive.famillial.history"
"Age at Diagnosis","",NA,"Ruptured IA","No","Yes",1,0.57,"odds ratio",-0.57,0.09,"log odds ratio",0.36,"P(Age at Diagnosis= cont. |Ruptured IA=Yes)","Ruptured_IA|AgeDiag"
"IA Location=Low risk","No","Yes","Ruptured IA","No","Yes",1,0.06,"odds ratio",-2.9,0.35,"log odds ratio",0.05,"P(IA Location=Low risk=Yes|Ruptured IA=Yes)","Ruptured_IA|location.groupedLow"
"IA Location=Medium risk","No","Yes","Ruptured IA","No","Yes",1,0.47,"odds ratio",-0.75,0.14,"log odds ratio",0.32,"P(IA Location=Medium risk=Yes|Ruptured IA=Yes)","Ruptured_IA|location.groupedMedium"
"IA Location=High risk","No","Yes","Ruptured IA","No","Yes",1,1.19,"odds ratio",0.18,0.13,"log odds ratio",0.54,"P(IA Location=High risk=Yes|Ruptured IA=Yes)","Ruptured_IA|location.groupedHigh"
"IA Size","",NA,"Ruptured IA","No","Yes",1,1.52,"odds ratio",0.42,0.09,"log odds ratio",0.6,"P(IA Size= cont. |Ruptured IA=Yes)","Ruptured_IA|IAsize_log"
